suite,program,label,label_jit,label_aot,avg_bb_out_degree,avg_bb_size,basic_block_count,br_density,br_instr_count,call_bb_ratio,call_density,call_instr_count,compute_density,compute_instr_count,compute_mem_ratio,func_count,indirect_call_count,io_call_count,io_density,loop_instr_count,ls_ratio,max_loop_depth,mem_instr_count,syscall_count,syscall_density,total_instr_count,mean_L1_dcache_load_misses_native,mean_L1_dcache_loads_native,mean_LLC_load_misses_native,mean_LLC_loads_native,mean_branch_misses_native,mean_branches_native,mean_cycles_native,mean_instructions_native,mean_L1_dcache_load_misses_wasm_aot,mean_L1_dcache_loads_wasm_aot,mean_LLC_load_misses_wasm_aot,mean_LLC_loads_wasm_aot,mean_branch_misses_wasm_aot,mean_branches_wasm_aot,mean_cycles_wasm_aot,mean_instructions_wasm_aot,mean_L1_dcache_load_misses_wasm_jit,mean_L1_dcache_loads_wasm_jit,mean_LLC_load_misses_wasm_jit,mean_LLC_loads_wasm_jit,mean_branch_misses_wasm_jit,mean_branches_wasm_jit,mean_cycles_wasm_jit,mean_instructions_wasm_jit,std_L1_dcache_load_misses_native,std_L1_dcache_loads_native,std_LLC_load_misses_native,std_LLC_loads_native,std_branch_misses_native,std_branches_native,std_cycles_native,std_instructions_native,std_L1_dcache_load_misses_wasm_aot,std_L1_dcache_loads_wasm_aot,std_LLC_load_misses_wasm_aot,std_LLC_loads_wasm_aot,std_branch_misses_wasm_aot,std_branches_wasm_aot,std_cycles_wasm_aot,std_instructions_wasm_aot,std_L1_dcache_load_misses_wasm_jit,std_L1_dcache_loads_wasm_jit,std_LLC_load_misses_wasm_jit,std_LLC_loads_wasm_jit,std_branch_misses_wasm_jit,std_branches_wasm_jit,std_cycles_wasm_jit,std_instructions_wasm_jit,perf_run_count_native,perf_run_count_wasm_aot,perf_run_count_wasm_jit,branch_miss_rate_native,l1_load_miss_rate_native,llc_load_miss_rate_native,ipc_native,branch_miss_rate_wasm_jit,l1_load_miss_rate_wasm_jit,llc_load_miss_rate_wasm_jit,ipc_wasm_jit,branch_miss_rate_wasm_aot,l1_load_miss_rate_wasm_aot,llc_load_miss_rate_wasm_aot,ipc_wasm_aot,cycles_ratio_jit_over_native,cycles_ratio_aot_over_native,instructions_ratio_jit_over_native,instructions_ratio_aot_over_native,delta_branch_miss_rate_jit,delta_branch_miss_rate_aot,delta_l1_load_miss_rate_jit,delta_l1_load_miss_rate_aot,delta_llc_load_miss_rate_jit,delta_llc_load_miss_rate_aot,delta_ipc_jit,delta_ipc_aot
micro,alloc_bulk_buffer,similar,similar,similar,1.5,17.666667,6,0.066038,7,1.666667,0.09434,10,0.254717,27,1.08,1,0,1,0.009434,0,0.235849,1,25,3,0.028302,106,16810715.2,9329571.1,4403.0,3426995.7,8039.0,1782358.6,82521285.5,23876766.5,17053955.6,12343614.5,39699.8,3645124.4,55682.7,28358648.1,103687991.7,268355868.9,17079273.5,12887032.3,40555.7,3604503.9,63850.4,28687863.7,105274455.7,270517394.6,806.7273806351646,15203.569511063826,2802.7366784785345,44928.52950099994,357.0726661183811,10823.63693445456,797172.4625822115,62179.44626687795,1386.5731699251307,34011.26427213356,1142.5942995365115,69082.23812754695,1365.9787740338836,28350.06862797906,802161.5833715323,147064.03972227086,2103.9216953110454,18414.18240288347,3055.0433366629823,66607.2261002263,1180.944838301565,13425.568177920819,1390651.6184754756,73611.90136594996,10,10,10,0.004510315713123049,1.801874386272698,0.001284798810806795,0.28934069986100736,0.0022256937870211648,1.3253069521677228,0.011251395788474524,2.569639451481866,0.0019635174357976533,1.3816014425920382,0.010891205798079211,2.5881094281045853,1.2757248637383383,1.2564999572140694,11.329733219948356,11.239204810249328,-0.0022846219261018846,-0.002546798277325396,-0.47656743410497526,-0.4202729436806598,0.00996659697766773,0.009606406987272416,2.2802987516208586,2.298768728243578
micro,alloc_fragmented_pattern,native-better,native-better,native-better,1.5,9.8,10,0.112245,11,1.3,0.132653,13,0.214286,21,1.105263,1,0,1,0.010204,0,0.193878,1,19,3,0.030612,98,11292.3,2304437.6,426.5,2990.3,7410.6,1862005.9,2643789.3,8996007.6,265138.8,6130748.4,35270.3,62245.6,55312.1,5008425.8,17430945.7,27998353.6,288866.5,6708902.0,39227.4,67646.3,62705.9,5360755.0,20152714.6,30300236.9,451.40744098627545,5231.314795430401,328.9276347297212,175.9659373603628,503.418138551068,3832.33712997405,71936.83608408761,21581.827181424967,2588.7492818819824,22046.417462556907,3002.921875255646,2431.3899179961527,1925.9932185181176,16311.921392377777,828570.0163166049,91370.46323402412,1674.2093490494067,17629.691060506193,800.869416460776,567.9039531470105,1306.3420047343402,12903.160973618775,456457.6680557939,71102.66414832073,10,10,10,0.003979901460032968,0.0049002411694723256,0.14262782998361367,3.4026946095893496,0.011697214291643622,0.04305719475407451,0.5798898091987292,1.5035312860531451,0.011043809414127689,0.04324737906386763,0.5666312157003869,1.6062440949489047,7.622662895261738,6.593167503930816,3.3681871166938544,3.1123087979605533,0.007717312831610653,0.00706390795409472,0.038156953584602187,0.038347137894395304,0.43726197921511556,0.4240033857167732,-1.8991633235362044,-1.7964505146404448
micro,alloc_medium_objects,native-better,native-better,native-better,1.5,32.0,4,0.039062,5,2.25,0.070312,9,0.226562,29,0.690476,1,0,1,0.007812,0,0.328125,1,42,3,0.023438,128,11130.8,6924274.3,485.3,2999.4,5938.0,3760685.3,6212872.0,24122608.7,263466.3,5801276.2,37414.5,63792.0,173273.5,20139495.4,33584455.2,94522527.3,290940.2,6397731.2,36906.3,66928.0,182502.7,20505419.5,35316420.3,96892057.8,365.805898743521,3930.8525524228667,465.73217148437953,228.13115136303117,325.69583629174286,2888.8527922958824,129586.40465813618,16059.706494135247,2355.4129173270485,19854.90023366756,857.3911657528969,1088.0498354599595,2506.407843463983,15076.670891001511,612227.664127361,81172.81997216435,1942.4798468853176,27308.820466817884,3661.226571944314,3536.745145217877,1245.4694830999838,19618.234699437664,1183577.8041327863,113941.63059489137,10,10,10,0.001578967535518061,0.0016075041972268486,0.16179902647196107,3.882682389078674,0.008900217818026109,0.045475527324436514,0.5514328830982549,2.7435413039299457,0.00860366640566377,0.04541523122101995,0.586507712565839,2.814472550979478,5.684395284499664,5.405624838239063,4.016649235785183,3.918420618413464,0.007321250282508048,0.007024698870145708,0.043868023127209665,0.043807727023793104,0.3896338566262938,0.4247086860938779,-1.1391410851487285,-1.0682098380991962
micro,alloc_pool_style,similar,similar,similar,1.75,27.5,4,0.045455,5,2.5,0.090909,10,0.290909,32,1.032258,1,0,1,0.009091,0,0.281818,2,31,3,0.027273,110,45770.5,688582.4,462.1,3699.5,6388.0,507446.2,2383569.2,3823050.2,300792.6,4144536.7,36201.8,64138.3,53850.9,4169317.8,16896054.0,21754432.1,324575.0,4691852.0,38209.0,68506.8,61847.5,4498941.2,19193373.3,23928396.5,408.1345774782323,2382.301744112199,389.43618789789485,110.00732298856794,312.7501665333956,1907.9603303586618,41580.34418060747,10223.898645385318,2354.4543222486845,14061.7437519123,2753.3854232360727,2396.533981028064,867.1030247643896,11010.381069195064,862325.2630760107,58205.641145949994,2329.008420384563,13050.06171973474,3064.034740156986,2061.3374191421344,2154.800493471882,10992.13530767437,858591.7027854448,51765.63199491841,10,10,10,0.012588526626073857,0.06647062138097053,0.12490877145560211,1.6039182751648242,0.01374712343428716,0.06917843955862206,0.5577402535222781,1.246700938182659,0.012915997912176425,0.07257568741036845,0.5644334196572095,1.2875451333192947,8.052366719623663,7.08855190778602,6.25898046015718,5.690333885754365,0.0011585968082133032,0.00032747128610256804,0.002707818177651533,0.006105066029397921,0.432831482066676,0.4395246482016074,-0.3572173369821652,-0.31637314184552956
micro,alloc_realloc_loop,native-better,native-better,native-better,1.8,16.2,5,0.08642,7,2.0,0.123457,10,0.222222,18,1.636364,1,0,1,0.012346,0,0.135802,1,11,3,0.037037,81,10708.3,603470.1,305.6,2718.6,5471.2,813036.2,1621238.2,4387150.9,263749.4,4631262.0,36687.2,62768.4,54669.2,3462166.4,15960005.2,18723333.1,292792.9,5273159.8,38104.4,67311.9,63849.9,3849207.2,18112333.0,21274782.2,327.72110432839384,2386.806860407622,138.28730157819186,137.71000125061525,406.4479739838244,1664.2067045759418,42624.31162767716,10055.271204144106,1836.951956064417,27710.942046619584,1897.4961747875361,2027.0369837112828,1754.9132172275647,23622.993691175838,745701.0095959371,121855.5218504002,1525.3045196870598,21674.184935591562,2129.055774020233,2007.4334332397912,693.8088833869642,16608.268929796483,861029.1569196581,87676.75580829078,10,10,10,0.0067293436626807025,0.017744541113138827,0.11241079967630399,2.706049549042208,0.01658780540574693,0.05552513314692265,0.5660871257533958,1.174601979767046,0.015790459984823375,0.05694979035951756,0.584485186813747,1.1731407894528758,11.171913541144047,9.844330833063273,4.849339055102936,4.267765920702659,0.009858461743066227,0.009061116322142673,0.037780592033783825,0.039205249246378734,0.45367632607709185,0.472074387137443,-1.531447569275162,-1.532908759589332
micro,alloc_small_objects,native-better,native-better,native-better,1.5,37.0,2,0.040541,3,4.0,0.108108,8,0.445946,33,3.666667,1,0,1,0.013514,0,0.121622,2,9,3,0.040541,74,10853.5,298133.4,356.8,2860.3,5757.6,256400.7,1666587.6,4218138.6,265230.5,3523413.5,36041.8,62827.1,53110.7,3261877.7,16597054.3,17843565.6,285482.2,3984848.7,38923.4,67838.0,61466.1,3551344.3,18828869.7,19698077.1,376.37665826786986,2989.2028740489,244.5066688479296,232.95543207517895,435.72218467989694,2139.351513893875,64934.70293079896,11956.695067339268,2185.7236914934088,18574.38322738545,2245.9450275255317,1482.604573789729,2940.953550957391,11918.525645677228,642552.6183086826,73477.71248964564,2608.0635984065575,36903.7990397556,930.8874141257782,766.3774816919175,1778.0009030118938,26029.02278035042,645120.0630156718,148869.35133230095,10,10,10,0.022455476915624644,0.0364048442744087,0.1247421599132958,2.5310032307932686,0.01730784030148809,0.07164191704442881,0.5737698634983343,1.0461635463970522,0.016282247491989046,0.07527657483289997,0.5736664592190314,1.0751043695747866,11.297857790373575,9.958705020966194,4.669850606615914,4.230198979236956,-0.005147636614136555,-0.006173229423635598,0.035237072770020104,0.03887173055849127,0.44902770358503846,0.4489242993057356,-1.4848396843962164,-1.455898861218482
micro,branch_nested,similar,similar,similar,1.444444,7.333333,9,0.151515,10,0.777778,0.106061,7,0.318182,21,2.333333,1,0,1,0.015152,0,0.136364,1,9,3,0.045455,66,13843.4,302195.6,541.9,4232.7,8428.2,127103366.3,179681025.0,416863113.7,265690.3,3630610.7,37761.6,65206.0,56988.8,169185260.2,227593006.9,575283660.6,286187.0,4089527.3,40036.1,68553.7,68013.2,169471648.6,227750625.3,577123083.7,743.2765598647952,8955.721947447899,247.75994205861628,370.7838693602755,3888.0048239567695,6231.989891767733,13515924.85901789,36873.18749760274,1328.9209532549446,21473.44666248688,455.5561192408441,624.7716027121844,3554.7694033665693,15061.372895961978,3374494.814272745,87315.8788247065,1803.752385075812,28018.193855064965,1229.5157538189126,917.4286590490002,9486.797373191863,19258.924402873487,3223088.0693750116,110023.56809646267,10,10,10,6.630980945152198e-05,0.04580940291652162,0.12802702766555626,2.3200174514810343,0.00040132494468458245,0.06998045959981732,0.5840107827877999,2.5340131687445253,0.0003368425826968111,0.0731806084304219,0.5791123516240837,2.5276860147674425,1.2675274158748817,1.2666502036038585,1.3844426737054334,1.3800301386560412,0.00033501513523306046,0.0002705327732452891,0.024171056683295694,0.02737120551390028,0.45598375512224365,0.4510853239585274,0.21399571726349098,0.20766856328640815
micro,branch_predictable,wasm-better,wasm-better,wasm-better,1.5,31.0,2,0.080645,5,4.0,0.129032,8,0.290323,18,2.0,1,0,1,0.016129,0,0.145161,1,9,3,0.048387,62,12701.0,254179.1,416.3,3850.9,6737.4,15195644.2,78885566.9,271046643.7,264411.6,3575997.0,37786.9,64696.2,53815.8,122898609.4,115282992.7,555063912.9,285517.3,4029223.8,38019.7,67068.1,62476.8,123180228.5,116978604.9,556875353.4,699.5922622023011,15512.548300220265,348.99221576801204,259.6366906103818,293.82920208856024,10630.813670123709,69756.05671266167,63853.015545336464,1921.0118398617226,17382.259052775007,999.1431273290575,803.8913414690373,2185.010846655,13182.981244351544,376893.0514556717,74759.7563301591,1746.4882256179774,20318.574238038127,2457.1561271790065,2124.807674956855,1307.490709548468,14006.801215045058,721991.0000081488,80202.35938369221,10,10,10,0.00044337705669628667,0.0499687031703236,0.10810459892492665,3.4359472125438955,0.0005071982797953651,0.07086161359416174,0.5668820199170693,4.7604889276637286,0.0004378877862225836,0.07394066605760574,0.5840667612626399,4.814794445390903,1.4828898301293694,1.4613952492239743,2.0545369822633224,2.047853850255959,6.382122309907842e-05,-5.489270473703074e-06,0.02089291042383814,0.023971962887282143,0.4587774209921427,0.47596216233771327,1.324541715119833,1.3788472328470074
micro,branch_switch_dense,wasm-better,wasm-better,wasm-better,1.5,15.75,4,0.079365,5,1.75,0.111111,7,0.285714,18,1.384615,1,0,1,0.015873,0,0.206349,1,13,3,0.047619,63,12872.1,39640336.4,635.6,3893.4,6589.5,62078341.6,89569993.7,479215943.5,266522.8,42974811.5,38244.6,65547.3,54500.9,137917370.1,151085342.9,718285777.8,287338.2,43437565.2,38858.7,68184.9,62969.9,138203109.2,152503162.1,720136559.7,549.9998888888778,12781.950235477034,279.0783243304846,258.9994422988418,477.7526672987929,9171.663585921795,414385.63015225076,53250.58038963229,2228.2568573264366,31118.87849753643,856.2835978809798,990.0209930434137,1592.2837163437093,21259.756889221568,500528.26176205435,124053.05480657167,1497.1221875466401,27875.641640049467,2112.58146719968,1807.5536844647856,1624.5636302985765,20006.11400880356,726264.0438720853,113894.18860412287,10,10,10,0.00010614813202419698,0.0003247222695113153,0.16325062927004674,5.3501839589835765,0.0004556330198684127,0.00661497021476701,0.5699018404368122,4.722109035534549,0.00039517067328417686,0.006201837557798246,0.5834656805085793,4.754172469763776,1.7026144113706685,1.686785235310338,1.502739150205256,1.498877046022155,0.0003494848878442157,0.00028902254125997987,0.006290247945255695,0.00587711528828693,0.4066512111667655,0.42021505123853253,-0.6280749234490273,-0.5960114892198005
micro,branch_switch_sparse,wasm-better,wasm-better,wasm-better,1.625,9.375,8,0.12,9,0.875,0.093333,7,0.333333,25,2.777778,1,0,1,0.013333,0,0.12,1,9,3,0.04,75,22159.9,834473.0,1037.3,7762.4,23556753.5,181525376.4,1147291652.4,1440588340.0,273697.5,94035903.8,39291.3,68846.2,10031355.9,255588918.8,907322971.9,1737128120.2,294300.4,94505705.9,40886.5,72501.0,10036121.7,255883556.3,908980281.8,1739010672.0,2250.894609803943,22772.017594700163,391.15840780941926,973.1985294778129,21760.372659441528,15323.037813116125,798323.8800826864,97265.44314516259,2911.7035200873147,35846.67846630608,896.8991086577746,1495.768386705198,5720.402306170736,26332.19416860969,1065766.929318612,152829.03364347402,2037.1040555978905,35067.912447612325,513.9155248352251,656.4498796134042,6774.450187612501,25946.80372972446,1791674.7337394736,142253.52836632382,10,10,10,0.12977113154742367,0.02655556261257105,0.13363135112851696,1.2556426580690774,0.039221440584613285,0.0031141019179456763,0.5639439456007503,1.913144549798528,0.039248007883509226,0.002910563826579609,0.5707112375120196,1.9145642444854316,0.7922835313048077,0.7908389902445349,1.2071530941309716,1.205846300408068,-0.09054969096281039,-0.09052312366391445,-0.023441460694625375,-0.023644998785991442,0.43031259447223336,0.4370798863835026,0.6575018917294506,0.6589215864163542
micro,branch_unpredictable,native-better,native-better,native-better,1.5,31.0,2,0.064516,4,3.5,0.112903,7,0.33871,21,2.333333,1,0,1,0.016129,0,0.145161,1,9,3,0.048387,62,14858.3,395991.5,520.1,4736.5,7148.5,40293705.3,323409187.3,721617025.4,267194.1,3702356.0,37886.7,64994.6,54114.7,82984936.3,337987798.9,935573250.2,286934.7,4137873.8,39658.1,68675.0,62055.3,83255870.0,339859847.3,937316888.2,658.8161183348338,11990.49170755265,129.89521417922472,337.4364960831724,538.1282891240301,8078.710073739845,198085.7003488054,50267.57933566318,2668.468201879963,21405.257594027375,1850.6875028846268,2379.3062107354845,1382.252754664565,17883.012380158027,522299.12734401703,92649.57491033855,1432.7226644865125,18844.77616269882,858.698944786692,705.0060677437863,1546.0848079369166,13680.3955189723,298847.3110923377,75201.74720309468,10,10,10,0.00017740984470842398,0.03752176498737978,0.10980681938139977,2.2312817747215554,0.0007453564535449573,0.06934351163633845,0.5774750637058609,2.757951242685679,0.0006521026877018884,0.07216866773481534,0.5829207349533653,2.7680681173843404,1.050866396645498,1.0450779142105093,1.2989118260900723,1.2964955333217116,0.0005679466088365333,0.0004746928429934644,0.03182174664895867,0.03464690274743556,0.4676682443244611,0.47311391557196547,0.5266694679641235,0.536786342662785
