x_feature,y_metric,n,spearman_rho,p_value,abs_rho,direction
compute_to_memory_ratio,ratio_branches_retired_over_native,52,0.4159939582153991,0.002160892951684471,0.4159939582153991,positive
avg_bb_size,ratio_all_stores_retired_over_native,52,0.3934566873116226,0.0039058186828513247,0.3934566873116226,positive
compute_instr_count,ratio_branches_retired_over_native,52,0.39220568512316845,0.004031570487056204,0.39220568512316845,positive
compute_instr_count,ratio_instructions_retired_over_native,52,0.3921202186413373,0.0040402902235516,0.3921202186413373,positive
memory_instr_count,ratio_all_stores_retired_over_native,52,-0.38650696102778714,0.004650594509354363,0.38650696102778714,negative
memory_instr_count,ratio_all_loads_retired_over_native,52,-0.3859083883005317,0.004720219846706312,0.3859083883005317,negative
memory_access_density,ratio_L1_icache_load_misses_over_native,52,-0.37088309152044513,0.006794725347550766,0.37088309152044513,negative
branch_instr_count,ratio_branch_misses_over_native,52,-0.37041151610717427,0.006871017843507088,0.37041151610717427,negative
basic_block_count,ratio_branch_misses_over_native,52,-0.36967733549223547,0.006991280231503343,0.36967733549223547,negative
basic_block_count,ratio_instructions_retired_over_native,52,0.36708976664837945,0.007429869658656398,0.36708976664837945,positive
memory_access_density,ratio_conditional_branches_over_native,52,-0.3636209254805378,0.008055248614191709,0.3636209254805378,negative
avg_bb_size,ratio_cpu_cycles_over_native,52,-0.359458475946007,0.008865549088990548,0.359458475946007,negative
hostcall_density,ratio_all_loads_retired_over_native,52,0.35892187686648014,0.008974977637067179,0.35892187686648014,positive
compute_instr_count,ratio_all_stores_retired_over_native,52,-0.3575062934997197,0.009269285987845741,0.3575062934997197,negative
hostcall_density,ratio_branches_retired_over_native,52,-0.3492674678957798,0.01115332179845437,0.3492674678957798,negative
compute_instr_count,ratio_all_loads_retired_over_native,52,-0.34545551956152687,0.012131100989596352,0.34545551956152687,negative
avg_bb_size,ratio_instructions_retired_over_native,52,-0.3444240910205085,0.012407996377432284,0.3444240910205085,negative
avg_bb_size,ratio_all_loads_retired_over_native,52,0.3437407098875314,0.01259442963395293,0.3437407098875314,positive
call_instr_count,ratio_conditional_branches_over_native,52,-0.3422394718948495,0.01301244104938052,0.3422394718948495,negative
basic_block_count,ratio_cpu_cycles_over_native,52,0.34155908738899965,0.013205773755741652,0.34155908738899965,positive
max_loop_depth,ratio_branches_retired_over_native,52,0.34034270219232826,0.013557551035486858,0.34034270219232826,positive
hostcall_density,ratio_cpu_cycles_over_native,52,-0.3372208159942863,0.014497337029694057,0.3372208159942863,negative
branch_instr_count,ratio_instructions_retired_over_native,52,0.3344281876463884,0.01538465241363262,0.3344281876463884,positive
load_store_ratio,ratio_L1_icache_load_misses_over_native,52,-0.3324929568321433,0.016026376688799925,0.3324929568321433,negative
max_loop_depth,ratio_L1_icache_load_misses_over_native,52,0.3290356356743106,0.017229675551835324,0.3290356356743106,positive
memory_access_density,ratio_branch_misses_over_native,52,-0.3259430993205479,0.01837028145204203,0.3259430993205479,negative
max_loop_depth,ratio_cpu_cycles_over_native,52,0.3235705535239355,0.019288202566056442,0.3235705535239355,positive
avg_bb_size,ratio_branch_misses_over_native,52,0.31913898910035216,0.021107007978880998,0.31913898910035216,positive
hostcall_density,ratio_all_stores_retired_over_native,52,0.31620325310231917,0.02239000051060297,0.31620325310231917,positive
load_store_ratio,ratio_conditional_branches_over_native,52,-0.31394037991453594,0.02342324292488879,0.31394037991453594,negative
compute_density,ratio_branch_misses_over_native,52,0.3138427853197788,0.023468692958057237,0.3138427853197788,positive
basic_block_count,ratio_L1_icache_load_misses_over_native,52,0.3089557199564133,0.02584143481770404,0.3089557199564133,positive
compute_density,ratio_cpu_cycles_over_native,52,0.30393375889160945,0.02848596727352728,0.30393375889160945,positive
compute_to_memory_ratio,ratio_cpu_cycles_over_native,52,0.3021061072601461,0.029502854590872343,0.3021061072601461,positive
branch_instr_count,ratio_cpu_cycles_over_native,52,0.2988783932634433,0.0313726385236872,0.2988783932634433,positive
compute_to_memory_ratio,ratio_instructions_retired_over_native,52,0.2986031801114849,0.03153652707253486,0.2986031801114849,positive
avg_bb_out_degree,ratio_all_stores_retired_over_native,52,-0.2972254078642659,0.03236772601618514,0.2972254078642659,negative
ir_instruction_count,ratio_branches_retired_over_native,52,0.2908283905864076,0.03646898021376454,0.2908283905864076,positive
avg_bb_out_degree,ratio_branch_misses_over_native,52,-0.28601260954088964,0.03983204702511205,0.28601260954088964,negative
avg_bb_out_degree,ratio_all_loads_retired_over_native,52,-0.2816999948011295,0.043056424326944856,0.2816999948011295,negative
branch_instr_count,ratio_L1_icache_load_misses_over_native,52,0.27642132803129016,0.04729100555903161,0.27642132803129016,positive
avg_bb_out_degree,ratio_instructions_retired_over_native,52,0.27359227909038053,0.049696638583904176,0.27359227909038053,positive
load_store_ratio,ratio_branch_misses_over_native,52,0.26854213870140453,0.05423777499785116,0.26854213870140453,positive
max_loop_depth,ratio_instructions_retired_over_native,52,0.2657160631734124,0.0569219859496533,0.2657160631734124,positive
compute_instr_count,ratio_L1_icache_load_misses_over_native,52,0.26135650143967076,0.0612718680338606,0.26135650143967076,positive
compute_density,ratio_instructions_retired_over_native,52,0.24960495881992215,0.07433646997603788,0.24960495881992215,positive
memory_instr_count,ratio_cpu_cycles_over_native,52,0.2494338064862954,0.07454187737230737,0.2494338064862954,positive
branch_density,ratio_conditional_branches_over_native,52,0.2461880531550361,0.07852302363742514,0.2461880531550361,positive
basic_block_count,ratio_conditional_branches_over_native,52,0.23978137953066136,0.08687228904601345,0.23978137953066136,positive
compute_to_memory_ratio,ratio_branch_misses_over_native,52,0.2349524307028851,0.09361265189585012,0.2349524307028851,positive
call_instr_count,ratio_L1_icache_load_misses_over_native,52,-0.23237743807399475,0.09736948471549503,0.23237743807399475,negative
ir_instruction_count,ratio_L1_icache_load_misses_over_native,52,0.2305951310789407,0.10003750896356059,0.2305951310789407,positive
hostcall_density,ratio_L1_icache_load_misses_over_native,52,-0.22290577880139173,0.11220065564737382,0.22290577880139173,negative
branch_instr_count,ratio_conditional_branches_over_native,52,0.21780752070721487,0.12086814969043493,0.21780752070721487,positive
branch_density,ratio_L1_icache_load_misses_over_native,52,0.21321491348888624,0.12910258632177168,0.21321491348888624,positive
compute_to_memory_ratio,ratio_L1_icache_load_misses_over_native,52,0.18676582309691156,0.1849231628294713,0.18676582309691156,positive
load_store_ratio,ratio_all_stores_retired_over_native,52,0.18509829044525336,0.18894681828010984,0.18509829044525336,positive
avg_bb_out_degree,ratio_branches_retired_over_native,52,0.18285486496582812,0.19445826737834035,0.18285486496582812,positive
compute_density,ratio_L1_icache_load_misses_over_native,52,0.17836247570704908,0.20583655955899458,0.17836247570704908,positive
basic_block_count,ratio_branches_retired_over_native,52,0.1742296354863079,0.2167112400441444,0.1742296354863079,positive
branch_density,ratio_instructions_retired_over_native,52,0.1679409134291468,0.2340170060853472,0.1679409134291468,positive
avg_bb_size,ratio_branches_retired_over_native,52,-0.1675992228626582,0.23498373088703245,0.1675992228626582,negative
memory_access_density,ratio_all_loads_retired_over_native,52,-0.16344145452167969,0.24696694426106197,0.16344145452167969,negative
branch_instr_count,ratio_branches_retired_over_native,52,0.15451154534245892,0.274087634117697,0.15451154534245892,positive
call_instr_count,ratio_instructions_retired_over_native,52,-0.15226792391824306,0.28120033401667993,0.15226792391824306,negative
avg_bb_out_degree,ratio_conditional_branches_over_native,52,0.15111402048119377,0.28490530264064706,0.15111402048119377,positive
call_instr_count,ratio_branch_misses_over_native,52,0.14551375997128,0.3033396305957387,0.14551375997128,positive
memory_instr_count,ratio_branch_misses_over_native,52,-0.14494011038542018,0.3052703430274512,0.14494011038542018,negative
avg_bb_out_degree,ratio_L1_icache_load_misses_over_native,52,0.14473135066634885,0.30597491566433316,0.14473135066634885,positive
avg_bb_out_degree,ratio_cpu_cycles_over_native,52,0.13351855234297258,0.345351054575493,0.13351855234297258,positive
ir_instruction_count,ratio_branch_misses_over_native,52,-0.13148792394608733,0.35280281867359287,0.13148792394608733,negative
load_store_ratio,ratio_instructions_retired_over_native,52,-0.1312359703618771,0.35373423597628795,0.1312359703618771,negative
memory_access_density,ratio_all_stores_retired_over_native,52,-0.1294374300054076,0.3604267402588278,0.1294374300054076,negative
max_loop_depth,ratio_all_loads_retired_over_native,52,-0.12880633275108322,0.3627932418937324,0.12880633275108322,negative
branch_density,ratio_cpu_cycles_over_native,52,0.1284756529997135,0.3640369887405428,0.1284756529997135,positive
memory_instr_count,ratio_instructions_retired_over_native,52,0.12715394934697336,0.3690339216071137,0.12715394934697336,positive
hostcall_density,ratio_conditional_branches_over_native,52,-0.11499853517312121,0.4169029762053956,0.11499853517312121,negative
call_instr_count,ratio_branches_retired_over_native,52,-0.11336735941358243,0.4235859018219097,0.11336735941358243,negative
ir_instruction_count,ratio_conditional_branches_over_native,52,0.11260629224232821,0.4267246666051514,0.11260629224232821,positive
compute_density,ratio_conditional_branches_over_native,52,-0.1110494341087949,0.4331861858564594,0.1110494341087949,negative
load_store_ratio,ratio_cpu_cycles_over_native,52,-0.10900707635921388,0.44174532349433926,0.10900707635921388,negative
memory_instr_count,ratio_L1_icache_load_misses_over_native,52,0.0991065415555764,0.4845405282534414,0.0991065415555764,positive
max_loop_depth,ratio_all_stores_retired_over_native,52,-0.09846570426106947,0.4873835893285433,0.09846570426106947,negative
load_store_ratio,ratio_branches_retired_over_native,52,0.08053699288657212,0.5703296603932038,0.08053699288657212,positive
memory_instr_count,ratio_conditional_branches_over_native,52,-0.07747241298477328,0.5851329028118194,0.07747241298477328,negative
compute_to_memory_ratio,ratio_all_stores_retired_over_native,52,-0.07279253489413023,0.6080664056348111,0.07279253489413023,negative
call_instr_count,ratio_cpu_cycles_over_native,52,-0.06412180962306697,0.6515470976795136,0.06412180962306697,negative
max_loop_depth,ratio_branch_misses_over_native,52,0.06162351252319564,0.6643000175486311,0.06162351252319564,positive
call_instr_count,ratio_all_loads_retired_over_native,52,-0.05813710739158073,0.6822548804599685,0.05813710739158073,negative
compute_instr_count,ratio_conditional_branches_over_native,52,0.0566642774540555,0.6898933385626338,0.0566642774540555,positive
call_instr_count,ratio_all_stores_retired_over_native,52,0.053092858367899454,0.7085419676968243,0.053092858367899454,positive
max_loop_depth,ratio_conditional_branches_over_native,52,0.04466291274616932,0.7532198372988513,0.04466291274616932,positive
compute_instr_count,ratio_branch_misses_over_native,52,0.03794711793303264,0.789403870357642,0.03794711793303264,positive
memory_instr_count,ratio_branches_retired_over_native,52,0.03437517662238284,0.8088354990132338,0.03437517662238284,positive
compute_density,ratio_all_stores_retired_over_native,52,-0.03228975853317268,0.8202342236252446,0.03228975853317268,negative
compute_to_memory_ratio,ratio_conditional_branches_over_native,52,0.031184595347837477,0.8262900752187949,0.031184595347837477,positive
load_store_ratio,ratio_all_loads_retired_over_native,52,0.026418185564703593,0.8525187522938098,0.026418185564703593,positive
compute_density,ratio_all_loads_retired_over_native,52,0.02340580380446908,0.8691791529764858,0.02340580380446908,positive
branch_density,ratio_branches_retired_over_native,52,-0.017084528324429988,0.9043150821284079,0.017084528324429988,negative
hostcall_density,ratio_branch_misses_over_native,52,-0.004528174119001058,0.9745840926374105,0.004528174119001058,negative
compute_to_memory_ratio,ratio_all_loads_retired_over_native,52,-0.0009398097228115404,0.9947241723339364,0.0009398097228115404,negative
